SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,MissingIncome,DebtBurden,IncomePerDependent,TotalLatePayments,CreditLinesPerAge,HighUtilization,LogIncome,LogDebtBurden,Utilization_x_Late,Cluster,PD,RiskBucket,Score,Strategy,EL
0,0.029689737,57,0,0.283244418,10121.0,7,0,1,0,0.0,0,2866.716754578,10121.0,0,0.1206896551724138,0,9.222466551774023,7.961271436234969,0.0,0,0.008389244248349052,Low Risk,838,Premium - Increase Limit + Lower Interest,29.362354869221683
0,0.0,57,0,0.14256225,7750.0,9,0,1,0,0.0,0,1104.8574375,7750.0,0,0.15517241379310345,0,8.955577146281511,7.0083762745878095,0.0,0,0.011698503372360758,Low Risk,821,Premium - Increase Limit + Lower Interest,52.64326517562341
0,0.036569165,48,0,0.236293951,6000.0,6,0,2,0,3.0,0,1417.763706,1500.0,0,0.12244897959183673,0,8.699681400989514,7.2575411417997895,0.0,0,0.011373420761514213,Low Risk,823,Premium - Increase Limit + Lower Interest,34.12026228454264
0,1.018330787,41,0,0.163137729,4958.0,4,0,0,0,0.0,0,808.836860382,4958.0,0,0.09523809523809523,1,8.508959386489133,6.696832820445581,0.0,0,0.11007758038648405,Low Risk,704,Low Risk - Standard Terms,308.2172250821553
0,1.008799413,49,0,3942.0,5400.0,10,0,1,0,0.0,1,21286800.0,5400.0,0,0.2,1,8.594339400592892,16.8735977672425,0.0,0,0.10527888053406625,Low Risk,706,Low Risk - Standard Terms,736.9521637384638
0,0.798650169,34,0,0.295274271,8950.0,8,0,2,0,0.0,0,2642.70472545,8950.0,0,0.22857142857142856,0,9.099520536870939,7.879936517522656,0.0,0,0.05834898489218591,Low Risk,739,Low Risk - Standard Terms,280.07512748249235
0,0.140158374,67,0,291.0,5400.0,6,0,0,0,0.0,1,1571400.0,5400.0,0,0.08823529411764706,0,8.594339400592892,14.267478136098863,0.0,0,0.010111105780651757,Low Risk,829,Premium - Increase Limit + Lower Interest,30.333317341955272
0,0.04593505,78,0,0.007199177,5833.0,11,0,0,0,1.0,0,41.992799441,2916.5,0,0.13924050632911392,0,8.671458150427666,3.7610326468109667,0.0,0,0.009133044331001879,Low Risk,834,Premium - Increase Limit + Lower Interest,50.23174382051033
0,0.301055343,54,0,0.255097258,8533.0,12,0,1,0,0.0,0,2176.744902514,8533.0,0,0.21818181818181817,0,9.051813463747946,7.686045171984059,0.0,0,0.022466093577065496,Low Risk,788,Premium - Increase Limit + Lower Interest,134.796561462393
0,0.133724418,44,0,0.259474278,6200.0,9,0,2,0,2.0,0,1608.7405236,2066.6666666666665,0,0.2,0,8.732465848349879,7.383828279524121,0.0,0,0.018048103858783863,Low Risk,799,Premium - Increase Limit + Lower Interest,81.21646736452739
1,0.9999999,55,0,0.132851696,4982.0,1,1,0,0,0.0,0,661.8671494719999,4982.0,1,0.017857142857142856,1,8.513787398281405,6.496574592237248,0.9999999,0,0.2904953900203877,Medium Risk,644,Approve with High Interest + Low Limit,203.3467730142714
0,0.0,33,0,0.009175931,5666.0,9,0,0,0,0.0,0,51.990825046,5666.0,0,0.2647058823529412,0,8.64241515616962,3.970118786226829,0.0,0,0.01697485310150646,Low Risk,802,Premium - Increase Limit + Lower Interest,76.38683895677907
0,0.005545202,31,0,6.0,5400.0,2,0,0,0,0.0,1,32400.0,5400.0,0,0.0625,0,8.594339400592892,10.385944565501662,0.0,0,0.016256563922103735,Low Risk,805,Premium - Increase Limit + Lower Interest,16.256563922103734
0,0.0,44,0,0.608531437,4500.0,13,0,2,0,2.0,0,2738.3914665,1500.0,0,0.28888888888888886,0,8.412054873292933,7.915491082197672,0.0,0,0.019177841631905782,Low Risk,796,Premium - Increase Limit + Lower Interest,124.65597060738759
0,0.881514811,62,0,0.489179104,2679.0,4,0,1,0,0.0,0,1310.510819616,2679.0,0,0.06349206349206349,1,7.893572073504902,7.178935049075415,0.0,0,0.048566126239343796,Low Risk,748,Premium - Increase Limit + Lower Interest,135.98515347016263
0,0.345982257,58,0,0.514371407,4000.0,6,0,1,0,0.0,0,2057.485628,4000.0,0,0.1016949152542373,0,8.294299608857235,7.629725859402735,0.0,0,0.021864894248181145,Low Risk,790,Premium - Increase Limit + Lower Interest,65.59468274454343
0,0.074144247,74,0,0.009249377,5621.0,6,0,0,0,1.0,0,51.990748116999995,2810.5,0,0.08,0,8.634442751466477,3.9701173344838945,0.0,0,0.007295430076587614,Low Risk,845,Premium - Increase Limit + Lower Interest,21.886290229762842
0,0.925082997,58,1,2200.0,5400.0,3,0,1,0,0.0,1,11880000.0,5400.0,1,0.05084745762711865,1,8.594339400592892,16.290366956073854,0.925082997,0,0.12000222677733069,Medium Risk,699,Low Risk - Standard Terms,252.00467623239444
0,0.508254824,47,0,0.58369593,7813.0,9,0,1,0,1.0,0,4560.41630109,3906.5,0,0.1875,0,8.963672275615016,8.425388446628913,0.0,0,0.058624413989867626,Low Risk,738,Low Risk - Standard Terms,316.5718355452851
0,0.005455228,81,0,0.479004666,4500.0,17,0,2,0,0.0,0,2155.520997,4500.0,0,0.2073170731707317,0,8.412054873292933,7.676251552650745,0.0,0,0.012427312838919055,Low Risk,818,Premium - Increase Limit + Lower Interest,105.63215913081197
1,0.419627554,63,1,0.438756124,10000.0,13,1,2,0,0.0,0,4387.56124,10000.0,2,0.203125,0,9.210440366976517,8.386756716589018,0.839255108,0,0.22354591099151802,Medium Risk,662,Approve with High Interest + Low Limit,1453.0484214448672
0,0.004136176,41,0,0.472323285,7695.0,9,0,2,0,0.0,0,3634.527678075,7695.0,0,0.21428571428571427,0,8.948455992345542,8.19850954533991,0.0,0,0.014547367021728475,Low Risk,810,Premium - Increase Limit + Lower Interest,65.46315159777814
0,0.795932437,25,1,0.037756802,1800.0,3,0,0,0,0.0,0,67.9622436,1800.0,1,0.11538461538461539,0,7.496097345175956,4.233559160628976,0.795932437,0,0.19878824061209038,Medium Risk,669,Low Risk - Standard Terms,357.81883310176266
0,0.066611829,34,0,0.206383489,8333.0,5,0,1,0,0.0,0,1719.793613837,8333.0,0,0.14285714285714285,0,9.0280988119824,7.450540866787289,0.0,0,0.01231872799808526,Low Risk,819,Premium - Increase Limit + Lower Interest,30.79681999521315
0,0.0,51,0,576.0,5400.0,5,0,1,0,0.0,1,3110400.0,5400.0,0,0.09615384615384616,0,8.594339400592892,14.950262214750262,0.0,0,0.012988703852020167,Low Risk,816,Premium - Increase Limit + Lower Interest,32.471759630050414
0,0.06323366,46,0,0.191144965,4200.0,6,0,1,0,1.0,0,802.808853,2100.0,0,0.1276595744680851,0,8.343077871169383,6.689361495888262,0.0,0,0.012430187396549377,Low Risk,818,Premium - Increase Limit + Lower Interest,37.290562189648135
0,0.291630852,45,1,0.554770789,7503.0,17,0,4,0,0.0,0,4162.445229867,7503.0,1,0.3695652173913043,0,8.92319149068606,8.334098190759757,0.291630852,0,0.0753111586913012,Low Risk,725,Low Risk - Standard Terms,640.1448488760602
1,0.147334739,54,0,0.031626085,3572.0,8,0,0,0,1.0,0,112.96837561999999,1786.0,0,0.14545454545454545,0,8.181160858023409,4.735921003067995,0.0,0,0.015480960837084572,Low Risk,807,Premium - Increase Limit + Lower Interest,61.92384334833829
0,0.451736404,62,0,0.180824373,16739.0,8,0,2,0,0.0,0,3026.819179647,16739.0,0,0.12698412698412698,0,9.725556344043467,8.015597896673535,0.0,0,0.018197005707541493,Low Risk,799,Premium - Increase Limit + Lower Interest,72.78802283016597
0,0.023732354,44,0,0.544645535,10000.0,11,0,1,0,2.0,0,5446.45535,3333.3333333333335,0,0.24444444444444444,0,9.210440366976517,8.602903870364807,0.0,0,0.01723689521200231,Low Risk,802,Premium - Increase Limit + Lower Interest,94.8029236660127
0,0.822400231,63,0,0.515793683,2500.0,12,0,0,0,0.0,0,1289.4842075,2500.0,0,0.1875,1,7.824445930877619,7.162772781578947,0.0,0,0.06373719040092407,Low Risk,734,Low Risk - Standard Terms,535.3923993677621
0,0.023455168,64,0,0.253984607,16500.0,28,0,2,0,1.0,0,4190.7460155,8250.0,0,0.4307692307692308,0,9.711176264112805,8.340872636259823,0.0,0,0.010785653282601332,Low Risk,825,Premium - Increase Limit + Lower Interest,150.99914595641866
0,0.032074198,57,0,0.548886738,3098.0,8,0,1,0,0.0,0,1700.451114324,3098.0,0,0.13793103448275862,0,8.038834757787749,7.439236762599039,0.0,0,0.011458124070008673,Low Risk,822,Premium - Increase Limit + Lower Interest,45.83249628003469
0,0.737815546,37,2,168.0,1.0,3,1,0,0,0.0,0,168.0,1.0,3,0.07894736842105263,0,0.6931471805599453,5.1298987149230735,2.2134466379999997,0,0.34378637563220327,High Risk,632,Decline / Collections,618.8154761379659
0,0.018146837,58,0,2122.0,5400.0,6,0,2,0,0.0,1,11458800.0,5400.0,0,0.1016949152542373,0,8.594339400592892,16.254268638995462,0.0,0,0.00747727909606276,Low Risk,844,Premium - Increase Limit + Lower Interest,22.43183728818828
0,0.604395604,36,0,0.710350955,2250.0,18,0,0,0,0.0,0,1598.28964875,2250.0,0,0.4864864864864865,0,7.719129840906732,7.3773148401129705,0.0,0,0.10497353057517468,Low Risk,707,Low Risk - Standard Terms,1133.7141302118866
0,0.9999999,53,0,0.0,1333.0,0,0,0,0,0.0,0,0.0,1333.0,0,0.0,1,7.195937226475569,0.0,0.0,0,0.12749450655296896,Medium Risk,696,Low Risk - Standard Terms,0.0
0,0.158859813,53,0,0.435405953,6416.0,12,0,1,0,1.0,0,2793.564594448,3208.0,0,0.2222222222222222,0,8.766705997750515,7.935431593292493,0.0,0,0.019784781126730083,Low Risk,795,Premium - Increase Limit + Lower Interest,118.7086867603805
0,0.004755344,62,0,0.402355776,7470.0,10,0,3,0,2.0,0,3005.59764672,2490.0,0,0.15873015873015872,0,8.918784137975802,8.008564368488711,0.0,0,0.010269276991575031,Low Risk,828,Premium - Increase Limit + Lower Interest,51.34638495787516
0,0.0,30,0,0.0,2000.0,3,0,0,0,0.0,0,0.0,2000.0,0,0.0967741935483871,0,7.601402334583733,0.0,0.0,0,0.014520288934507367,Low Risk,810,Premium - Increase Limit + Lower Interest,21.78043340176105
0,0.9999999,71,0,0.0,8000.0,0,0,0,0,0.0,0,0.0,8000.0,0,0.0,1,8.987321812850125,0.0,0.0,0,0.05274498411464468,Low Risk,744,Low Risk - Standard Terms,0.0
0,0.798624547,69,0,0.445263684,8001.0,8,0,2,1,0.0,0,3562.5547356839998,8001.0,1,0.11428571428571428,0,8.98744678941718,8.178513846914882,0.798624547,0,0.1051468283045608,Low Risk,707,Low Risk - Standard Terms,504.7047758618919
1,0.762408771,39,0,0.529433543,2700.0,6,0,0,0,4.0,0,1429.4705661,540.0,0,0.15,0,7.901377353792616,7.265758736326013,0.0,0,0.0811789468132777,Low Risk,721,Low Risk - Standard Terms,292.2442085277997
0,0.606948126,63,0,1234.0,5400.0,9,0,2,1,1.0,1,6663600.0,2700.0,1,0.140625,0,8.594339400592892,15.71217058708672,0.606948126,0,0.08721032889819058,Low Risk,717,Low Risk - Standard Terms,470.9357760502291
0,0.0641729,89,0,659.0,5400.0,10,0,0,0,0.0,1,3558600.0,5400.0,0,0.1111111111111111,0,8.594339400592892,15.084878048064219,0.0,0,0.010226337010693658,Low Risk,828,Premium - Increase Limit + Lower Interest,51.13168505346829
0,0.047997333,57,0,0.260353469,7581.0,4,0,1,0,1.0,0,1973.739648489,3790.5,0,0.06896551724137931,0,8.93353229607628,7.588191845095861,0.0,0,0.008861326972766837,Low Risk,835,Premium - Increase Limit + Lower Interest,17.722653945533672
1,0.787511231,48,2,1.554174067,1688.0,6,1,1,1,3.0,0,2623.4458250959997,422.0,4,0.12244897959183673,0,7.4318919168078,7.872625038488831,3.150044924,0,0.5849733431404972,High Risk,582,Decline / Collections,2105.90403530579
0,0.102774497,51,0,0.162936832,9070.0,9,0,1,0,1.0,0,1477.83706624,4535.0,0,0.17307692307692307,0,9.112837790614945,7.299011291828148,0.0,0,0.013055219066471013,Low Risk,816,Premium - Increase Limit + Lower Interest,58.74848579911956
0,0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0,0,44.9826988,1300.0,0,0.047058823529411764,0,7.8636512654486515,3.828265212697366,0.0,0,0.008393504701780897,Low Risk,838,Premium - Increase Limit + Lower Interest,16.787009403561793
0,0.05234587,65,1,1.280929768,4000.0,11,0,4,0,0.0,0,5123.719072,4000.0,1,0.16666666666666666,0,8.294299608857235,8.541830987284687,0.05234587,0,0.05013379654234945,Low Risk,747,Low Risk - Standard Terms,275.73588098292197
0,0.478023726,43,0,0.162941961,5995.0,3,1,1,0,2.0,0,976.837056195,1998.3333333333333,1,0.06818181818181818,0,8.698847859222488,6.885343046946395,0.478023726,0,0.10885360109505461,Low Risk,705,Low Risk - Standard Terms,163.28040164258192
0,0.0,63,0,968.0,5400.0,4,0,1,0,2.0,1,5227200.0,1800.0,0,0.0625,0,8.594339400592892,15.469386511135934,0.0,0,0.007847506282034292,Low Risk,841,Premium - Increase Limit + Lower Interest,15.695012564068584
0,0.063982976,72,0,0.036049682,3300.0,4,0,0,0,1.0,0,118.9639506,1650.0,0,0.0547945205479452,0,8.101980731853192,4.787191285982756,0.0,0,0.00818676615652422,Low Risk,839,Premium - Increase Limit + Lower Interest,16.37353231304844
0,0.038680128,52,0,1235.0,5400.0,6,0,1,0,0.0,1,6669000.0,5400.0,0,0.11320754716981132,0,8.594339400592892,15.712980631561951,0.0,0,0.010437945998347105,Low Risk,827,Premium - Increase Limit + Lower Interest,31.313837995041315
0,0.098284692,30,0,0.450387051,1420.0,7,0,0,0,0.0,0,639.54961242,1420.0,0,0.22580645161290322,0,7.259116128097101,6.462326577228495,0.0,0,0.01687277560806668,Low Risk,803,Premium - Increase Limit + Lower Interest,59.05471462823338
0,0.049259124,63,0,1003.0,5400.0,6,0,1,0,0.0,1,5416200.0,5400.0,0,0.09375,0,8.594339400592892,15.504905205145576,0.0,0,0.007359240058549298,Low Risk,845,Premium - Increase Limit + Lower Interest,22.077720175647894
0,0.188430487,47,0,0.429893438,7131.0,5,0,1,0,2.0,0,3065.570106378,2377.0,0,0.10416666666666667,0,8.872346978983032,8.028314986822643,0.0,0,0.015939296619104065,Low Risk,806,Premium - Increase Limit + Lower Interest,39.84824154776016
0,0.128782829,30,0,28.0,5400.0,3,0,0,0,0.0,1,151200.0,5400.0,0,0.0967741935483871,0,8.594339400592892,11.926365356462313,0.0,0,0.020030855749392007,Low Risk,794,Premium - Increase Limit + Lower Interest,30.046283624088012
0,0.0,55,0,0.0,6900.0,2,0,0,0,0.0,0,0.0,6900.0,0,0.03571428571428571,0,8.839421607620602,0.0,0.0,0,0.009409853199640633,Low Risk,832,Premium - Increase Limit + Lower Interest,9.409853199640633
0,0.186792528,63,0,5554.0,5400.0,16,0,3,0,0.0,1,29991600.0,5400.0,0,0.25,0,8.594339400592892,17.21642793376178,0.0,0,0.017222317490272324,Low Risk,802,Premium - Increase Limit + Lower Interest,137.7785399221786
0,0.012963401,38,0,30.0,5400.0,7,0,0,0,1.0,1,162000.0,2700.0,0,0.1794871794871795,0,8.594339400592892,11.995357787034976,0.0,0,0.014806222649555492,Low Risk,809,Premium - Increase Limit + Lower Interest,51.82177927344422
0,0.0,57,2,1981.0,5400.0,4,0,2,0,3.0,1,10697400.0,1350.0,2,0.06896551724137931,0,8.594339400592892,16.185511372731572,0.0,0,0.08205288994427115,Low Risk,720,Low Risk - Standard Terms,164.10577988854232
0,0.0,55,0,0.585793137,4166.0,7,0,1,0,0.0,0,2440.414208742,4166.0,0,0.125,0,8.334951631422454,7.800332744134386,0.0,0,0.012753550363805996,Low Risk,817,Premium - Increase Limit + Lower Interest,44.63742627332099
0,0.779088729,52,0,0.258882342,5600.0,9,0,1,0,0.0,0,1449.7411152,5600.0,0,0.16981132075471697,0,8.630700432209832,7.27982981877142,0.0,0,0.06726464351371363,Low Risk,731,Low Risk - Standard Terms,363.2290749740536
0,0.164413983,65,0,1187.0,5400.0,17,0,0,0,0.0,1,6409800.0,5400.0,0,0.25757575757575757,0,8.594339400592892,15.67333878317313,0.0,0,0.016675851705219655,Low Risk,803,Premium - Increase Limit + Lower Interest,141.74473949436708
0,0.969549289,57,0,0.598955392,7083.0,24,0,2,0,1.0,0,4242.401041536,3541.5,0,0.41379310344827586,1,8.865593998902725,8.353120359127447,0.0,0,0.10469009931987507,Low Risk,707,Low Risk - Standard Terms,1758.793668573901
0,0.142738779,47,0,0.367907261,4916.0,8,0,1,0,2.0,0,1808.632095076,1638.6666666666667,0,0.16666666666666666,0,8.50045386741194,7.500878841210322,0.0,0,0.017078776424270987,Low Risk,802,Premium - Increase Limit + Lower Interest,68.31510569708395
0,0.0,53,0,0.188540573,20000.0,16,0,2,0,4.0,0,3770.81146,4000.0,0,0.2962962962962963,0,9.90353755128617,8.235310658410782,0.0,0,0.01639005162702726,Low Risk,804,Premium - Increase Limit + Lower Interest,131.12041301621807
0,0.0,71,0,0.423326134,3703.0,13,0,1,0,0.0,0,1567.576674202,3703.0,0,0.18055555555555555,0,8.21716859576607,7.357923910211542,0.0,0,0.011312876366397768,Low Risk,823,Premium - Increase Limit + Lower Interest,73.53369638158549
0,0.0,33,0,0.479658606,3514.0,11,0,1,0,0.0,0,1685.520341484,3514.0,0,0.3235294117647059,0,8.164794804244766,7.430422715789181,0.0,0,0.02145837540106255,Low Risk,790,Premium - Increase Limit + Lower Interest,118.02106470584403
0,0.078049835,45,0,0.569960023,1750.0,10,0,2,0,0.0,0,997.43004025,1750.0,0,0.21739130434782608,0,7.467942332285852,6.906184085553943,0.0,0,0.019518484379239778,Low Risk,795,Premium - Increase Limit + Lower Interest,97.59242189619889
0,0.9999999,68,0,84.0,5400.0,5,0,0,0,0.0,1,453600.0,5400.0,0,0.07246376811594203,1,8.594339400592892,13.024973235978788,0.0,0,0.03699900504337597,Low Risk,762,Premium - Increase Limit + Lower Interest,129.4965176518159
0,0.224367989,47,0,0.280226164,12910.0,5,0,1,0,5.0,0,3617.71977724,2151.6666666666665,0,0.10416666666666667,0,9.46583494017472,8.193875589573821,0.0,0,0.014849502258934185,Low Risk,809,Premium - Increase Limit + Lower Interest,37.123755647335464
0,0.823038874,47,0,3715.0,5400.0,11,0,1,0,1.0,1,20061000.0,2700.0,0,0.22916666666666666,1,8.594339400592892,16.814288239552187,0.0,0,0.08361072068965879,Low Risk,719,Low Risk - Standard Terms,643.8025493103726
0,0.727946115,57,0,0.272429309,18000.0,8,0,2,0,4.0,0,4903.727562,3600.0,0,0.13793103448275862,0,9.798182590890704,8.497954827541506,0.0,0,0.03370698950349691,Low Risk,767,Premium - Increase Limit + Lower Interest,161.79354961678516
0,0.076211301,49,0,0.205577612,10326.0,7,0,1,0,1.0,0,2122.794421512,5163.0,0,0.14,0,9.242517103671403,7.660959589312185,0.0,0,0.010174987982611957,Low Risk,828,Premium - Increase Limit + Lower Interest,35.61245793914185
0,0.9999999,34,0,3210.0,0.0,2,0,1,0,2.0,0,0.0,0.0,0,0.05714285714285714,1,0.0,0.0,0.0,0,0.05414971814990455,Low Risk,743,Low Risk - Standard Terms,75.80960540986636
0,0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,0,3322.125756,3800.0,0,0.11538461538461539,1,8.24301946898925,8.108661111755286,0.0,0,0.08228611385010495,Low Risk,720,Low Risk - Standard Terms,345.6016781704408
0,0.38903219,68,0,1956.0,5400.0,8,0,1,0,0.0,1,10562400.0,5400.0,0,0.11594202898550725,0,8.594339400592892,16.172811177822577,0.0,0,0.016178988338185568,Low Risk,805,Premium - Increase Limit + Lower Interest,64.71595335274228
0,0.023256695,67,0,0.005346294,4114.0,4,0,0,0,0.0,0,21.994653516,4114.0,0,0.058823529411764705,0,8.32239411311117,3.1352617330810193,0.0,0,0.007514966466173168,Low Risk,844,Premium - Increase Limit + Lower Interest,15.029932932346336
0,0.206618815,42,0,0.390540776,5750.0,8,0,2,0,3.0,0,2245.609462,1437.5,0,0.18604651162790697,0,8.657129031713755,7.717177452896276,0.0,0,0.01727861293518563,Low Risk,802,Premium - Increase Limit + Lower Interest,69.11445174074251
0,0.0,34,0,0.29843963,6600.0,10,0,0,0,2.0,0,1969.701558,2200.0,0,0.2857142857142857,0,8.79497643168877,7.586144879148251,0.0,0,0.01834059590179733,Low Risk,799,Premium - Increase Limit + Lower Interest,91.70297950898664
0,0.295809317,48,1,2243.0,5400.0,8,0,1,0,2.0,1,12112200.0,1800.0,1,0.16326530612244897,0,8.594339400592892,16.309723849633954,0.295809317,0,0.052168473532064684,Low Risk,744,Low Risk - Standard Terms,208.67389412825872
0,0.330316509,67,0,1081.0,5400.0,7,0,1,0,0.0,1,5837400.0,5400.0,0,0.10294117647058823,0,8.594339400592892,15.579796221500704,0.0,0,0.014909425935178409,Low Risk,809,Premium - Increase Limit + Lower Interest,52.18299077312443
0,0.023899403,58,0,0.119847812,4730.0,4,0,0,0,1.0,0,566.88015076,2365.0,0,0.06779661016949153,0,8.461891875631148,6.3419103942739605,0.0,0,0.009188732850805188,Low Risk,834,Premium - Increase Limit + Lower Interest,18.377465701610376
0,0.012477239,66,0,0.085793137,8333.0,5,0,0,0,2.0,0,714.914210621,2777.6666666666665,0,0.07462686567164178,0,9.0280988119824,6.573560342213511,0.0,0,0.006976186522311702,Low Risk,847,Premium - Increase Limit + Lower Interest,17.440466305779257
0,0.250974903,33,0,0.061297685,3066.0,4,0,0,0,0.0,0,187.93870221,3066.0,0,0.11764705882352941,0,8.028455164114252,5.2414226355230715,0.0,0,0.02305341472637248,Low Risk,787,Premium - Increase Limit + Lower Interest,46.10682945274496
0,0.375968651,60,0,0.275497572,10500.0,14,0,2,0,0.0,0,2892.7245060000005,10500.0,0,0.22950819672131148,0,9.259225769705994,7.970299707774138,0.0,0,0.02236137855964455,Low Risk,788,Premium - Increase Limit + Lower Interest,156.52964991751185
0,0.954499082,31,0,0.235159342,4800.0,10,0,0,0,2.0,0,1128.7648416,1600.0,0,0.3125,1,8.476579508530941,7.029764785270821,0.0,0,0.11050674763277815,Low Risk,704,Low Risk - Standard Terms,773.547233429447
0,0.228519196,40,0,0.175637394,6000.0,8,0,0,0,0.0,0,1053.824364,6000.0,0,0.1951219512195122,0,8.699681400989514,6.961129552430044,0.0,0,0.017666040026830004,Low Risk,800,Premium - Increase Limit + Lower Interest,70.66416010732001
0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,0,5056.756637744001,2033.5,0,0.1111111111111111,0,8.31090675716845,8.528678311747349,0.0,0,0.017110384212848075,Low Risk,802,Premium - Increase Limit + Lower Interest,42.77596053212019
0,0.17727829,65,0,0.02413417,7333.0,2,0,0,0,0.0,0,176.97586861,7333.0,0,0.030303030303030304,0,8.900276348631271,5.181647971494954,0.0,0,0.009616656877279592,Low Risk,831,Premium - Increase Limit + Lower Interest,9.616656877279592
0,0.049011809,49,0,1.015912481,4021.0,16,0,2,0,2.0,0,4084.984086101,1340.3333333333333,0,0.32,0,8.299534570332597,8.315317880632097,0.0,0,0.028204888090965965,Low Risk,776,Premium - Increase Limit + Lower Interest,225.63910472772773
0,0.064647345,65,0,0.393034826,200.0,4,0,0,0,0.0,0,78.6069652,200.0,0,0.06060606060606061,0,5.303304908059076,4.377101591534779,0.0,0,0.007457423543519651,Low Risk,844,Premium - Increase Limit + Lower Interest,14.914847087039302
0,0.110994158,85,0,0.026076159,2415.0,1,0,0,0,0.0,0,62.973923985000006,2415.0,0,0.011627906976744186,0,7.789868559054706,4.158475562599991,0.0,0,0.009610206238158368,Low Risk,831,Premium - Increase Limit + Lower Interest,4.805103119079184
